Simulation Mode;Density target;currentPosition X;currentPosition Y;currentPosition Z;currentPosition Type;nextPosition X;nextPosition Y;nextPosition Z;nextPosition Type;targetPosition X;targetPosition Y;targetPosition Z;targetPosition Type;Heading angle;flightState;localCollisions;currentPathStep;currentStepPercentage;flightSpeed;aircraftDiameter;Flight count;Far collisions;Medium collisions;Close collisions;Spot on collisions;;;;
Polygons;50;-1551.992;59.96016;-928.6487;NoFlyEvasion;-1532.592;57.6;-826.9503;NoFlyEvasion;-1623.671;0;639.8307;Ground;79.2;Transit;1 0 1 1;10;23;5;0.88;1354;4892;2033;525;55;1.512744;1.510117;1157;1237
Polygons;50;-1552.275;59.99458;-930.1317;NoFlyEvasion;-1532.592;57.6;-826.9503;NoFlyEvasion;-1110.439;0;251.5544;Ground;79.2;Transit;1 1 1 1;4;22;6;2.15;1354;4892;2033;525;56;1.512744;1.510117;1237;1157
Polygons;50;-1206.961;86.52043;-1520.229;NoFlyEvasion;-1206.15;86.5;-1520.675;NoFlyEvasion;-1000.061;0;-2073.469;Ground;208.83;Transit;1 1 1 1;11;98;11;1.52;1355;4894;2036;525;57;2.057631;2.038987;1194;1240
Polygons;50;-1205.106;86.46687;-1521.074;NoFlyEvasion;-1065.633;95.4;-1574.497;NoFlyEvasion;-674.6284;0;-2609.748;Ground;201.22;Transit;1 1 1 1;10;0;8;2.6;1355;4894;2036;525;58;2.057631;2.038987;1240;1194
Polygons;50;-1550.888;99.49306;-1092.103;NoFlyEvasion;-1550.081;99.2;-1104.933;NoFlyEvasion;-1208.487;0;-2111.847;Ground;266.4;Transit;0 0 2 1;6;90;2;0.13;1503;5608;2335;580;59;0.288086;0.1298007;1162;1473
Polygons;50;-1550.896;99.49603;-1091.973;NoFlyEvasion;-1550.081;99.2;-1104.933;NoFlyEvasion;-1811.455;0;-2319.715;Ground;266.4;Transit;1 1 1 1;8;84;23;0.45;1503;5608;2335;580;60;0.288086;0.1298007;1473;1162
Polygons;50;1558.082;97.89513;1022.241;NoFlyEvasion;1550.081;100.8;895.0656;NoFlyEvasion;1032.335;0;-1741.724;Ground;273.6;Transit;1 0 1 1;6;7;5;3;1624;6098;2524;627;61;2.840241;2.690032;1502;1598
Polygons;50;1558.251;97.83383;1024.925;NoFlyEvasion;1550.081;100.8;895.0656;NoFlyEvasion;835.5629;0;-122.9888;Ground;273.6;Transit;1 1 1 1;6;0;27;2.68;1624;6098;2524;627;62;2.840241;2.690032;1598;1502
Polygons;50;-678.0961;46.30563;-1457.039;NoFlyEvasion;-670.8409;46.4;-1453.05;NoFlyEvasion;703.058;0;-905.863;Ground;28.81;Transit;1 1 1 1;8;91;5;0.73;1713;6489;2691;661;63;1.200306;1.060934;1590;1681
Polygons;50;-679.0258;46.30019;-1457.55;NoFlyEvasion;-670.8409;46.4;-1453.05;NoFlyEvasion;1939.295;0;-1380.312;Ground;28.81;Transit;2 2 1 1;7;81;26;1.67;1713;6489;2691;661;64;1.200306;1.060934;1681;1590
Polygons;50;1183.912;51.27856;473.6154;NoFlyEvasion;1206.149;44.9;479.3249;NoFlyEvasion;2723.513;0;1051.7;Ground;21.06;Transit;1 1 1 1;8;81;6;0.32;1747;6654;2760;672;65;1.243864;1.085266;1522;1689
Polygons;50;1182.895;51.55316;473.3542;NoFlyEvasion;1206.149;44.9;479.3249;NoFlyEvasion;2321.622;0;547.4358;Ground;21.03;Transit;2 2 2 1;5;76;25;2.16;1747;6654;2760;672;66;1.243864;1.085266;1689;1522
Polygons;50;-1491.89;107.7792;-740.4542;NoFlyEvasion;-1532.592;105.6;-826.9503;NoFlyEvasion;-1659.303;0;-2622.683;Ground;295.19;Transit;1 0 1 1;6;31;3;2.84;1803;6942;2877;704;67;2.084953;2.070526;1566;1622
Polygons;50;-1491.008;107.8264;-738.5812;NoFlyEvasion;-1532.592;105.6;-826.9503;NoFlyEvasion;-2312.937;0;-2159.19;Ground;295.19;Transit;1 1 1 1;4;29;8;1.33;1803;6942;2877;704;68;2.084953;2.070526;1622;1566
Polygons;50;-1552.763;100.1738;-1062.301;NoFlyEvasion;-1550.081;99.2;-1104.933;NoFlyEvasion;-1659.303;0;-2622.683;Ground;266.4;Transit;2 0 1 1;8;69;3;2.84;1850;7155;2975;727;69;2.504819;2.461185;1566;1815
Polygons;50;-1552.918;100.2299;-1059.845;NoFlyEvasion;-1550.081;99.2;-1104.933;NoFlyEvasion;-703.46;0;-2040.552;Ground;266.4;Transit;2 2 1 1;4;66;18;2.17;1850;7155;2975;727;70;2.504819;2.461185;1815;1566
Polygons;50;-446.7114;96.91793;-935.448;NoFlyEvasion;-441.105;97.6;-964.8382;NoFlyEvasion;82.30615;0;-2665.8;Ground;259.2;Transit;2 1 1 1;9;75;8;0.47;2026;7924;3282;784;71;1.193624;1.176331;1887;1933
Polygons;50;-446.9314;96.84686;-934.2946;NoFlyEvasion;-441.105;97.6;-964.8382;NoFlyEvasion;-739.7692;0;-1998.88;Ground;259.2;Transit;2 1 1 1;3;71;17;1.92;2026;7924;3282;784;72;1.193624;1.176331;1933;1887
Polygons;50;-488.4291;103.6409;-1223.455;NoFlyEvasion;-493.2973;104;-1238.437;NoFlyEvasion;-781.1234;0;-2209.396;Ground;288;Transit;2 1 1 1;9;85;9;2.28;2034;7944;3291;788;73;2.100263;2.080873;1868;1933
Polygons;50;-487.7863;103.5935;-1221.476;NoFlyEvasion;-493.2973;104;-1238.437;NoFlyEvasion;-739.7692;0;-1998.88;Ground;288;Transit;2 2 2 2;5;80;17;1.92;2034;7944;3291;788;74;2.100263;2.080873;1933;1868
Polygons;50;-1244.871;87.40729;-1499.388;NoFlyEvasion;-1206.15;86.4;-1520.675;NoFlyEvasion;1500.949;0;-2119.599;Ground;208.83;Transit;1 0 1 1;7;67;3;2.63;2092;8171;3384;806;75;2.19395;2.16217;1833;1994
Polygons;50;-1246.763;87.52349;-1498.348;NoFlyEvasion;-1206.15;86.5;-1520.675;NoFlyEvasion;-1122.237;0;-2004.314;Ground;208.83;Transit;1 1 1 1;12;63;15;1.76;2092;8171;3384;806;76;2.19395;2.16217;1994;1833
Polygons;50;-1107.03;84.06712;-1546.124;NoFlyEvasion;-1070.187;83.2;-1555.584;NoFlyEvasion;2548.585;0;-1819.988;Ground;194.46;Transit;2 2 1 1;5;72;6;1.52;2152;8362;3447;830;77;1.303494;1.260875;2058;2097
Polygons;50;-1108.251;84.09586;-1545.811;NoFlyEvasion;-1070.187;83.2;-1555.584;NoFlyEvasion;1123.584;0;-1772.21;Ground;194.46;Transit;1 1 1 1;7;70;15;1.08;2152;8362;3447;830;78;1.303494;1.260875;2097;2058
Polygons;50;-765.2075;44.15471;-1504.928;NoFlyEvasion;-670.8409;47.3;-1453.05;NoFlyEvasion;1500.949;0;-2119.599;Ground;28.84;Transit;1 0 1 1;11;22;3;2.63;2162;8409;3466;839;79;1.855;1.80061;1833;2097
Polygons;50;-766.7841;44.08015;-1505.795;NoFlyEvasion;-670.8409;47.2;-1453.05;NoFlyEvasion;1123.584;0;-1772.21;Ground;28.84;Transit;3 2 2 2;10;15;15;1.08;2162;8409;3466;839;80;1.855;1.80061;2097;1833
Polygons;50;656.9616;88.74982;560.7766;NoFlyEvasion;670.8398;90;546.9508;NoFlyEvasion;2038.481;0;382.1541;Ground;225.01;Transit;1 0 1 1;2;83;3;1.62;2505;9656;3969;960;81;1.70694;1.667054;2014;2411
Polygons;50;655.4589;89.12299;561.3944;NoFlyEvasion;670.8398;90.1;546.9508;NoFlyEvasion;2446.72;0;1257.213;Ground;223.27;Transit;1 1 1 1;3;81;12;1.79;2505;9656;3969;960;82;1.70694;1.667054;2411;2014
Polygons;50;-471.1745;102.368;-1170.351;NoFlyEvasion;-493.2973;104;-1238.437;NoFlyEvasion;-368.2981;0;-2018.664;Ground;288;Transit;1 1 1 1;11;46;8;1.17;2544;9834;4026;976;83;1.356279;1.30081;2404;2468
Polygons;50;-470.7726;102.3384;-1169.114;NoFlyEvasion;-493.2973;104;-1238.437;NoFlyEvasion;-1311.406;0;-2034.211;Ground;288;Transit;1 1 1 1;17;39;25;1.54;2544;9834;4026;976;84;1.356279;1.30081;2468;2404
Polygons;50;1.486288;80.6;-2226.974;Air;944.2559;80.6;-2270.701;Air;944.2559;0;-2270.701;Ground;182.66;Transit;1 1 1 1;1;56;9;2.62;2574;9983;4085;992;85;1.920014;1.900804;2511;2562
Polygons;50;0.5477175;81.8;-2225.838;Air;1077.955;81.8;-2379.404;Air;1077.955;0;-2379.404;Ground;188.11;Transit;1 1 1 1;1;21;15;1.22;2574;9983;4085;992;86;1.920014;1.900804;2562;2511
Polygons;50;-1556.361;101.4802;-1005.107;NoFlyEvasion;-1550.081;99.2;-1104.933;NoFlyEvasion;-2127.462;0;-1860.947;Ground;266.4;Transit;1 1 1 1;9;27;4;0.53;2609;10130;4152;1006;87;0.7944145;0.7606081;2409;2544
Polygons;50;-1556.409;101.4975;-1004.349;NoFlyEvasion;-1550.081;99.2;-1104.933;NoFlyEvasion;-814.6003;0;-2477.632;Ground;266.4;Transit;1 1 1 1;7;21;20;1.06;2609;10130;4152;1006;88;0.7944145;0.7606081;2544;2409
Polygons;50;-1433.951;53.00977;-652.9474;NoFlyEvasion;-1383.346;51.2;-591.7775;NoFlyEvasion;-2000.198;0;2229.411;Ground;50.41;Transit;1 1 1 1;11;41;10;1.36;2637;10254;4204;1019;89;0.9844058;0.9604698;2547;2591
Polygons;50;-1434.563;53.03167;-653.6873;NoFlyEvasion;-1383.346;51.2;-591.7775;NoFlyEvasion;-1098.236;0;1417.526;Ground;50.41;Transit;1 1 1 1;11;39;19;0.61;2637;10254;4204;1019;90;0.9844058;0.9604698;2591;2547
Polygons;50;-1528.156;65.61741;-1172.411;NoFlyEvasion;-1550.081;64;-1104.933;NoFlyEvasion;-1577.005;0;1606.62;Ground;108;Transit;1 1 1 1;6;46;8;0.61;2779;10773;4411;1063;91;1.316994;1.28076;2688;2689
Polygons;50;-1527.76;65.6466;-1173.629;NoFlyEvasion;-1550.081;64;-1104.933;NoFlyEvasion;-2231.06;0;-767.0926;Ground;108;Transit;1 1 1 1;9;42;16;2.02;2779;10773;4411;1063;92;1.316994;1.28076;2689;2688
Polygons;50;-448.5849;100.3155;-1083.724;NoFlyEvasion;-449.9193;100.8;-1104.934;NoFlyEvasion;-270.3838;0;-1831.778;Ground;273.6;Transit;1 0 1 1;9;84;5;2.6;2857;11086;4543;1100;93;2.733975;2.681402;2577;2772
Polygons;50;-448.4165;100.2544;-1081.049;NoFlyEvasion;-449.9193;100.8;-1104.934;NoFlyEvasion;-274.6729;0;-2010.848;Ground;273.6;Transit;2 2 1 1;6;79;19;2.87;2857;11086;4543;1100;94;2.733975;2.681402;2772;2577
Polygons;50;-449.7431;100.736;-1102.134;NoFlyEvasion;-449.9193;100.8;-1104.934;NoFlyEvasion;-270.3838;0;-1831.778;Ground;273.6;Transit;2 0 2 2;9;97;5;2.6;2859;11094;4548;1102;95;2.68273;2.521621;2577;2825
Polygons;50;-449.5848;100.6786;-1099.618;NoFlyEvasion;-449.9193;100.8;-1104.934;NoFlyEvasion;-570.9976;0;-2734.958;Ground;273.6;Transit;2 2 1 1;9;92;22;2.77;2859;11094;4548;1102;96;2.68273;2.521621;2825;2577
Polygons;50;500.8567;67.52164;749.6513;NoFlyEvasion;493.2967;67.2;761.564;NoFlyEvasion;-1528.508;0;1818.07;Ground;122.39;Transit;1 1 1 1;7;89;3;1.16;2902;11287;4630;1125;97;0.7118679;0.5362356;2691;2838
